started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2018-12-01 12:11:11.665000+00:00,2018-12-01 12:21:39.373000+00:00,627,157,Høyteknologisenteret,ved Florida bybanestopp,60.382254745562825,5.3323324699108525,58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565
2018-12-01 12:11:17.878000+00:00,2018-12-01 12:21:44.170000+00:00,626,157,Høyteknologisenteret,ved Florida bybanestopp,60.382254745562825,5.3323324699108525,58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565
2018-12-01 12:13:17.931000+00:00,2018-12-01 12:16:17.173000+00:00,179,214,Media City,Nygårdsgaten ved SVV,60.3839343833222,5.333450454511649,34,Cornerteateret, Ved BI,60.382595986001995,5.325332343545597
2018-12-01 12:15:05.427000+00:00,2018-12-01 12:23:16.784000+00:00,491,75,Akvariet, Ved Akvariet og Havforskningsinstituttet,60.39987652272946,5.304686307890734,58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565
2018-12-01 12:17:06.502000+00:00,2018-12-01 12:44:27.419000+00:00,1640,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,87,ADO arena,Ved Amalie Skram vgs og Store Lungegårdsvann,60.38543124330305,5.337431780062616
2018-12-01 12:18:00.791000+00:00,2018-12-01 12:21:29.806000+00:00,209,131,Gulating,Gulatings plass ved Rådhuset,60.391983600413376,5.32661819461282,116,Lysverket,"Gamle Lysverket, ved KODE",60.389542524377724,5.329622268545791
2018-12-01 12:21:16.942000+00:00,2018-12-01 12:30:09.083000+00:00,532,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,5,Solheimsviken, ,60.37711952025095,5.335721728558383
2018-12-01 12:22:51.637000+00:00,2018-12-01 12:29:00.704000+00:00,369,34,Cornerteateret, Ved BI,60.382595986001995,5.325332343545597,301,Lars Hilles,Lars Hilles gate 18,60.388117889090395,5.331487235597251
2018-12-01 12:23:15.938000+00:00,2018-12-01 12:37:17.285000+00:00,841,298,Østre Murallmeningen,Østre Murallmeningen / Markeveien,60.39397677863768,5.318713236118583,34,Cornerteateret, Ved BI,60.382595986001995,5.325332343545597
2018-12-01 12:25:18.112000+00:00,2018-12-01 12:31:08.072000+00:00,349,301,Lars Hilles,Lars Hilles gate 18,60.388117889090395,5.331487235597251,151,Småstrandgaten,ved Xhibiton,60.39309812241306,5.327022724925882
2018-12-01 12:25:41.487000+00:00,2018-12-01 12:27:55.418000+00:00,133,216,Johanneskirken,på Sydnesplassen,60.38853002489311,5.318665231464365,7,Neumannsgate,Ved Konsertpaleet,60.39145484865607,5.31889235970084
2018-12-01 12:27:06.167000+00:00,2018-12-01 12:34:33.018000+00:00,446,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,215,Nonneseterplass,ved Jernbanestasjonen og Bystasjonen,60.38967202352878,5.3336050852019525
2018-12-01 12:27:57.185000+00:00,2018-12-01 12:36:43.480000+00:00,526,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,157,Høyteknologisenteret,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2018-12-01 12:34:08.074000+00:00,2018-12-01 12:40:00.070000+00:00,351,83,Bergen jernbanestasjon,ved Bergen Offentlige Bibliotek,60.39032443075989,5.332439659978263,58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565
2018-12-01 12:46:32.734000+00:00,2018-12-01 12:54:27.647000+00:00,474,215,Nonneseterplass,ved Jernbanestasjonen og Bystasjonen,60.38967202352878,5.3336050852019525,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335
2018-12-01 13:01:20.301000+00:00,2018-12-01 13:06:37.173000+00:00,316,82,Den Nationale Scene,ved hovedinngangen,60.39245536165015,5.320185176096857,82,Den Nationale Scene,ved hovedinngangen,60.39245536165015,5.320185176096857
2018-12-01 13:03:38.910000+00:00,2018-12-01 13:10:46.289000+00:00,427,132,Nøstetorget,Sukkerhusbryggen,60.39234269953708,5.31489050385062,34,Cornerteateret, Ved BI,60.382595986001995,5.325332343545597
2018-12-01 13:08:57.560000+00:00,2018-12-01 13:17:59.850000+00:00,542,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.378024641518735,5.350818157212416,215,Nonneseterplass,ved Jernbanestasjonen og Bystasjonen,60.38967202352878,5.3336050852019525
2018-12-01 13:10:59.797000+00:00,2018-12-01 13:21:38.687000+00:00,638,116,Lysverket,"Gamle Lysverket, ved KODE",60.389542524377724,5.329622268545791,217,Nykirken,ved kai,60.39723758526031,5.3140013115007605
2018-12-01 13:12:14.159000+00:00,2018-12-01 13:19:30.360000+00:00,436,87,ADO arena,Ved Amalie Skram vgs og Store Lungegårdsvann,60.38543124330305,5.337431780062616,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335
2018-12-01 13:13:48.505000+00:00,2018-12-01 13:24:47.781000+00:00,659,217,Nykirken,ved kai,60.39723758526031,5.3140013115007605,116,Lysverket,"Gamle Lysverket, ved KODE",60.389542524377724,5.329622268545791
2018-12-01 13:16:24.380000+00:00,2018-12-01 13:23:37.934000+00:00,433,117,Verftet,Ved kaien på ved Georgernes verft,60.395877002094046,5.307755827707297,58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565
